Clavage	N	Type	abundance	subject_id
True	75	D right	34	IGHD3-22
True	75	J	34	IGHJ5
True	76	V	31	IGHV3-23
True	76	D left	31	IGHD3-22
False	76	D right	31	IGHD3-22
True	76	J	31	IGHJ4
True	77	V	43	IGHV4-31
True	77	D left	43	IGHD2-21
True	77	D right	43	IGHD2-21
True	77	J	43	IGHJ5
True	78	V	38	IGHV2-70
True	78	D left	38	IGHD1-26
True	78	D right	38	IGHD1-26
True	78	J	38	IGHJ4
True	79	V	48	IGHV3-23
False	79	D left	48	IGHD6-19
False	79	D right	48	IGHD6-19
True	79	J	48	IGHJ4
True	80	V	29	IGHV1-69
True	80	D left	29	IGHD2-2
True	80	D right	29	IGHD2-2
True	80	J	29	IGHJ6
False	81	V	43	IGHV4-b
False	81	D left	43	IGHD6-19
False	81	D right	43	IGHD6-19
True	81	J	43	IGHJ4
True	82	V	9	IGHV3-15
True	82	D left	9	IGHD5-12
True	82	D right	9	IGHD5-12
True	82	J	9	IGHJ4
True	83	V	25	IGHV3-7
True	83	D left	25	IGHD6-19
True	83	D right	25	IGHD6-19
True	83	J	25	IGHJ4
True	84	V	19	IGHV3-23
True	84	D left	19	IGHD3-16
True	84	D right	19	IGHD3-16
True	84	J	19	IGHJ4
True	85	V	35	IGHV3-72
True	85	D left	35	IGHD2-8
True	85	D right	35	IGHD2-8
True	85	J	35	IGHJ5
True	86	V	20	IGHV3-43
True	86	D left	20	IGHD3-16
True	86	D right	20	IGHD3-16
True	86	J	20	IGHJ6
False	87	V	148	IGHV4-59
True	87	D left	148	IGHD2-21
True	87	D right	148	IGHD2-21
True	87	J	148	IGHJ4
False	88	V	17	IGHV3-48
True	88	D left	17	IGHD1-26
True	88	D right	17	IGHD1-26
True	88	J	17	IGHJ4
True	89	V	13	IGHV3-53
True	89	D left	13	IGHD5-24
True	89	D right	13	IGHD5-24
True	89	J	13	IGHJ4
True	90	V	25	IGHV3-15
True	90	D left	25	IGHD6-19
True	90	D right	25	IGHD6-19
True	90	J	25	IGHJ4
False	91	V	95	IGHV4-34
True	91	D left	95	IGHD6-25
True	91	D right	95	IGHD6-25
True	91	J	95	IGHJ5
True	92	V	63	IGHV4-34
True	92	D left	63	IGHD6-19
True	92	D right	63	IGHD6-19
True	92	J	63	IGHJ4
True	93	V	21	IGHV3-21
False	93	D left	21	IGHD2-2
False	93	D right	21	IGHD2-2
True	93	J	21	IGHJ5
False	94	V	27	IGHV3-74
True	94	D left	27	IGHD5-5
False	94	D right	27	IGHD5-5
True	94	J	27	IGHJ5
True	95	V	26	IGHV3-9
True	95	D left	26	IGHD5-12
True	95	D right	26	IGHD5-12
True	95	J	26	IGHJ1
False	96	V	279	IGHV1-18
True	96	D left	279	IGHD4-23
True	96	D right	279	IGHD4-23
True	96	J	279	IGHJ6
True	97	V	99	IGHV1-69
True	97	D left	99	IGHD2-15
True	97	D right	99	IGHD2-15
True	97	J	99	IGHJ6
True	98	V	78	IGHV4-59
True	98	D left	78	IGHD2-2
True	98	D right	78	IGHD2-2
True	98	J	78	IGHJ5
False	99	V	52	IGHV5-a
True	99	D left	52	IGHD6-13
False	99	D right	52	IGHD6-13
True	99	J	52	IGHJ5
False	100	V	6	IGHV3-21
True	100	D left	6	IGHD2-2
True	100	D right	6	IGHD2-2
True	100	J	6	IGHJ6
False	101	V	99	IGHV3-30
True	101	D left	99	IGHD6-19
True	101	D right	99	IGHD6-19
True	101	J	99	IGHJ5
True	102	V	439	IGHV4-39
True	102	D left	439	IGHD1-7
True	102	D right	439	IGHD1-7
False	103	V	56	IGHV4-b
True	103	D left	56	IGHD3-3
True	103	D right	56	IGHD3-3
True	103	J	56	IGHJ4
True	104	V	14	IGHV5-51
True	104	D left	14	IGHD6-13
False	104	D right	14	IGHD6-13
True	104	J	14	IGHJ4
True	105	V	43	IGHV1-2
False	105	D left	43	IGHD2-2
True	105	D right	43	IGHD2-2
True	105	J	43	IGHJ5
False	106	V	23	IGHV4-b
True	106	D left	23	IGHD3-22
True	106	D right	23	IGHD3-22
True	106	J	23	IGHJ4
True	107	V	356	IGHV3-48
True	107	D left	356	IGHD2-21
True	107	D right	356	IGHD2-21
True	107	J	356	IGHJ6
False	108	V	25	IGHV3-48
True	108	D left	25	IGHD6-19
True	108	D right	25	IGHD6-19
True	108	J	25	IGHJ4
False	109	V	102	IGHV3-23
True	109	D left	102	IGHD1-26
True	109	D right	102	IGHD1-26
True	109	J	102	IGHJ5
False	110	V	24	IGHV4-4
True	110	D left	24	IGHD2-2
True	110	D right	24	IGHD2-2
True	110	J	24	IGHJ6
True	111	V	118	IGHV1-3
True	111	D left	118	IGHD3-9
True	111	D right	118	IGHD3-9
True	111	J	118	IGHJ5
True	112	V	165	IGHV3-23
True	112	D left	165	IGHD3-10
True	112	D right	165	IGHD3-10
True	112	J	165	IGHJ6
True	113	V	27	IGHV5-51
True	113	D left	27	IGHD5-24
True	113	D right	27	IGHD5-24
True	113	J	27	IGHJ4
True	114	V	585	IGHV2-5
True	114	D left	585	IGHD2-15
True	114	D right	585	IGHD2-15
False	114	J	585	IGHJ4
False	115	V	12	IGHV3-48
True	115	D left	12	IGHD6-19
False	115	D right	12	IGHD6-19
True	115	J	12	IGHJ6
True	116	V	314	IGHV3-7
True	116	D left	314	IGHD3-22
False	116	D right	314	IGHD3-22
False	116	J	314	IGHJ4
True	117	V	104	IGHV4-34
True	117	D left	104	IGHD3-22
True	117	D right	104	IGHD3-22
True	117	J	104	IGHJ6
False	118	V	29	IGHV3-53
True	118	D left	29	IGHD3-16
True	118	D right	29	IGHD3-16
True	118	J	29	IGHJ5
False	119	V	70	IGHV5-51
True	119	D left	70	IGHD7-27
False	119	D right	70	IGHD7-27
True	119	J	70	IGHJ4
True	120	V	56	IGHV1-2
True	120	D left	56	IGHD3-10
True	120	D right	56	IGHD3-10
True	120	J	56	IGHJ6
False	121	V	19	IGHV3-30-3
True	121	D left	19	IGHD5-24
True	121	D right	19	IGHD5-24
True	121	J	19	IGHJ4
False	122	V	76	IGHV4-b
True	122	D left	76	IGHD3-22
True	122	D right	76	IGHD3-22
True	122	J	76	IGHJ5
False	123	V	38	IGHV3-48
True	123	D left	38	IGHD3-22
True	123	D right	38	IGHD3-22
True	124	V	96	IGHV4-30-4
False	125	V	188	IGHV2-5
True	125	D left	188	IGHD1-20
True	125	D right	188	IGHD1-20
